geoid,num_surveys,detectors_found_total,no_detectors_found_prc,no_detectors_found_CI,detectors_working_total,no_detectors_working_prc,no_detectors_working_CI
#_06041,412.0,343.0,16.75,3.605844467026878,246.0,40.29,4.736195628626562
#_06043,132.0,114.0,13.64,5.855076958218967,67.0,49.24,8.528819721818062
#_06045,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_06047,420.0,342.0,18.57,3.719029261514354,253.0,39.76,4.680552227248405
#_06049,23.0,14.0,39.13,19.945674537036627,6.0,73.91,17.946542594290847
#_06051,28.0,20.0,28.57,16.73294952242431,4.0,85.71,12.963101383542446
#_06053,1038.0,732.0,29.48,2.773813681982024,348.0,66.47,2.8720170294577265
#_06055,308.0,222.0,27.92,5.010093248270299,169.0,45.13,5.557517769325046
#_06057,317.0,273.0,13.88,3.8060385596081363,183.0,42.27,5.438051834824071
#_06059,2584.0,1768.0,31.58,1.7922864210923983,1173.0,54.61,1.9196674292562679
#_06061,669.0,572.0,14.5,2.6681489527537097,394.0,41.11,3.728529023166097
#_06063,1.0,1.0,0.0,0.0,1.0,0.0,0.0
#_06065,1597.0,1192.0,25.36,2.133850815801137,779.0,51.22,2.4515700006531924
#_06067,813.0,590.0,27.43,3.0669187024406224,306.0,62.36,3.3303406562086204
#_06069,208.0,164.0,21.15,5.549839691031971,86.0,58.65,6.692620032830653
#_06071,1110.0,729.0,34.32,2.7930891232817103,483.0,56.49,2.9165868339921266
#_06073,3479.0,2616.0,24.81,1.4352325706417708,1539.0,55.76,1.6504326200240458
#_06075,254.0,190.0,25.2,5.339373262345092,115.0,54.72,6.121607303525984
#_06077,441.0,358.0,18.82,3.648136751822771,175.0,60.32,4.566182600135235
#_06079,257.0,223.0,13.23,4.142420959544073,165.0,35.8,5.861361900679679
#_06081,1163.0,974.0,16.25,2.120241371583604,556.0,52.19,2.8709077275165105
#_06083,416.0,350.0,15.87,3.5113434767796603,227.0,45.43,4.784733476662239
#_06085,1760.0,1515.0,13.92,1.6172251413511298,912.0,48.18,2.3344352884584314
#_06087,677.0,535.0,20.97,3.0665986716457434,269.0,60.27,3.6861382135821663
#_06089,283.0,180.0,36.4,5.605858137326558,100.0,64.66,5.569471376809694
#_06091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_06093,21.0,15.0,28.57,19.321545822216194,11.0,47.62,21.361112465412468
#_06095,646.0,505.0,21.83,3.185566944539451,259.0,59.91,3.779266347104017
#_06097,539.0,438.0,18.74,3.294464947039614,306.0,43.23,4.1822862455838665
#_06099,750.0,538.0,28.27,3.222840104702683,241.0,67.87,3.3421022056903045
#_06101,164.0,130.0,20.73,6.20423482996621,73.0,55.49,7.606244943818589
#_06103,98.0,85.0,13.27,6.716811618617869,49.0,50.0,9.899494936611665
#_06105,94.0,65.0,30.85,9.337181931692877,36.0,61.7,9.827297726015258
#_06107,505.0,358.0,29.11,3.9620866861034245,207.0,59.01,4.289554092508271
#_06109,188.0,127.0,32.45,6.6926355190977915,55.0,70.74,6.503495369447535
#_06111,549.0,410.0,25.32,3.6375075586048076,232.0,57.74,4.132121046405752
#_06113,289.0,223.0,22.84,4.840066283626309,119.0,58.82,5.674307029367499
#_06115,340.0,187.0,45.0,5.288155466256086,81.0,76.18,4.528016237551429
#_08001,572.0,409.0,28.5,3.699418873282667,222.0,61.19,3.9936509555749904
#_08003,123.0,53.0,56.91,8.751571705086366,22.0,82.11,6.773399821612086
#_08005,265.0,196.0,26.04,5.283869410295509,128.0,51.7,6.016611525523033
#_08007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_08009,76.0,35.0,53.95,11.206237358580358,18.0,76.32,9.557830074810253
#_08011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_08013,171.0,108.0,36.84,7.230009827078323,76.0,55.56,7.447768343581124
#_08014,1.0,1.0,0.0,0.0,1.0,0.0,0.0
#_08015,2.0,2.0,0.0,0.0,2.0,0.0,0.0
#_08017,1.0,0.0,100.0,0.0,0.0,100.0,0.0
#_08019,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_08021,33.0,14.0,57.58,16.862434036315484,1.0,96.97,5.848427539402055
#_08023,42.0,23.0,45.24,15.05304791462513,6.0,85.71,10.584327957881882
#_08025,13.0,6.0,53.85,27.099613797986127,4.0,69.23,25.089690796390087
#_08027,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_08029,38.0,24.0,36.84,15.33716693031738,11.0,71.05,14.420177234475457
#_08031,269.0,178.0,33.83,5.654074122042129,105.0,60.97,5.829580509486075
#_08033,1.0,0.0,100.0,0.0,0.0,100.0,0.0
#_08035,41.0,38.0,7.32,7.972833526603126,33.0,19.51,12.13008213013838
#_08037,182.0,43.0,76.37,6.1718254290083285,14.0,92.31,3.87086408719532
#_08039,3.0,2.0,33.33,53.34310952616092,2.0,33.33,53.34310952616092
#_08041,869.0,606.0,30.26,3.0543697964835372,415.0,52.24,3.3210845047217448
#_08043,158.0,62.0,60.76,7.613790275113816,42.0,73.42,6.888302426210445
#_08045,55.0,46.0,16.36,9.776274524340687,27.0,50.91,13.212128567783328
#_08047,2.0,2.0,0.0,0.0,1.0,50.0,69.29646455628166
#_08049,52.0,13.0,75.0,11.769419304673903,6.0,88.46,8.684219088757406
#_08051,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_08053,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_08055,64.0,17.0,73.44,10.820478185366856,4.0,93.75,5.9305057488801065
#_08057,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_08059,410.0,312.0,23.9,4.128149548245912,204.0,50.24,4.839819267901563
#_08061,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_08063,9.0,3.0,66.67,30.7976586443407,3.0,66.67,30.7976586443407
#_08065,116.0,80.0,31.03,8.418759003558659,35.0,69.83,8.352870587388217
#_08067,104.0,69.0,33.65,9.081391521211849,37.0,64.42,9.201375067472672
#_08069,764.0,560.0,26.7,3.137017995765909,327.0,57.2,3.5085630954515263
#_08071,5.0,0.0,100.0,0.0,0.0,100.0,0.0
#_08073,7.0,4.0,42.86,36.66091100231962,4.0,42.86,36.66091100231962
#_08075,55.0,34.0,38.18,12.839768366758022,20.0,63.64,12.71310837939258
#_08077,1062.0,673.0,36.63,2.8977047045163644,254.0,76.08,2.565722322012325
#_08079,6.0,1.0,83.33,29.822835774397223,0.0,100.0,0.0
#_08081,4.0,4.0,0.0,0.0,4.0,0.0,0.0
#_08083,52.0,33.0,36.54,13.088464666850141,30.0,42.31,13.428459129086198
#_08085,23.0,8.0,65.22,19.464683187495375,4.0,82.61,15.49024388142701
#_08087,3.0,3.0,0.0,0.0,3.0,0.0,0.0
#_08089,112.0,52.0,53.57,9.236495543765503,32.0,71.43,8.366474761212155
#_08091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_08093,17.0,10.0,41.18,23.39576723426697,9.0,47.06,23.727366610085742
#_08095,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_08097,9.0,3.0,66.67,30.7976586443407,1.0,88.89,20.531387474466175
#_08099,6.0,2.0,66.67,37.71927447552511,2.0,66.67,37.71927447552511
#_08101,338.0,183.0,45.86,5.312193329161745,96.0,71.6,4.807434794334204
